latitude,longitude
33.8596667,-118.2881667
38.774334,-122.7436676
46.937,-121.9645
38.7910004,-122.4421692
36.2825,-97.501
36.2191,-97.3387
41.401,-100.1575
34.1381667,-117.4238333
41.4377,-100.197
41.3542,-100.1268
37.6405,-97.8268
48.6007,-114.7301
36.3843346,-120.9658356
46.8748333,-112.5491667
41.0338,-117.4406
33.8348333,-119.7223333
40.6554985,-123.7190018
36.717,-99.3986
37.356,-118.4066667
36.2113,-97.5542
36.2165,-97.582
41.3485,-100.1019
36.2096,-97.5688
34.2433333,-117.458
36.5661667,-121.1536667
30.7584,-103.6691
37.3236667,-113.9741667
36.2975,-97.5332
36.2896,-97.5201
39.4848333,-123.1155
39.3322,-119.9574
33.8525,-119.7351667
37.1975,-97.774
36.2949,-97.5204
40.7885,-115.9622
30.752,-103.5954
36.2938,-97.5423
35.6717,-97.4076
40.4109993,-124.9281693
36.2911,-97.5233
36.2223,-97.5733
36.2192,-97.5772
36.2129,-97.575
44.7583333,-111.1176667
38.8265,-122.7676667
42.5889,-111.4449
39.8232,-107.3768
36.7412,-98.3703
36.059166,-120.19767
36.2954,-97.5219
36.2838,-97.5255
36.2787,-97.5061
36.2878,-97.5211
34.6788333,-119.9998333
41.4778,-77.3842
35.520668,-120.072998
35.5256667,-120.0695
33.8306667,-119.728
33.8375,-119.7258333
44.7585,-111.1235
36.4627,-96.8629
38.7161667,-119.6096667
36.6478333,-121.2615
36.6508333,-121.2663333
32.6268333,-115.7458333
36.4665,-96.8674
38.2929,-118.513
38.417,-111.6611667
35.1106667,-116.6195
36.4638,-96.8688
36.412,-96.8659
34.505,-120.573
36.4903,-96.8781
36.0897,-97.556
40.6061667,-122.3055
36.4652,-98.7956
38.8158333,-122.7988333
35.3527,-97.8532
36.07,-83.6535
33.4925,-116.8045
37.0835,-97.8592
35.5414,-96.7754
36.857,-121.5908333
36.087,-97.5452
35.378,-98.092
35.4012,-98.0814
36.8606667,-121.5925
36.8596667,-121.5915
37.0586662,-121.4899979
35.976,-97.2004
35.3824,-98.0973
37.9803333,-122.0516667
41.8273,-119.6444
38.415,-111.6535
40.5138333,-123.9008333
36.9185,-97.6468
38.21,-121.8161667
37.8363333,-121.9613333
36.6555,-99.0188
36.0973,-99.0952
36.004,-120.883
36.4817,-97.7555
36.4842,-97.7571
38.8023333,-122.7773333
36.4151667,-120.9865
41.1828333,-121.914
33.2616667,-116.1065
36.84,-97.7004
36.4818,-97.7419
36.9775,-97.5001667
36.9846,-97.5051
36.7015,-97.673
36.6556,-99.0174
36.6963,-97.6853
36.4849,-97.7577
36.6573,-99.024
45.7838,-111.8722
35.3965,-117.825
46.8553,-112.6115
40.4186667,-124.8333333
40.4503333,-124.4258333
40.4278333,-124.5108333
35.8613,-96.6981
36.1219,-97.8148
36.2328333,-117.5685
36.4889,-98.7298
38.4133333,-111.6561667
36.006,-120.5655
40.7513333,-124.3891667
38.4205,-111.657
38.4168333,-111.6543333
40.2908333,-124.48
38.4173333,-111.656
31.276,-103.5963
36.858,-121.5875
32.4128333,-115.2238333
40.8148346,-124.5486679
44.753,-74.5946667
36.4534,-98.7699
48.1585,-122.7491667
32.9091667,-115.5073333
36.1851,-96.7232
38.7911667,-122.7595
31.0371,-114.233
31.0899,-114.2695
36.0228,-97.9159
36.072,-97.3213
31.3203333,-116.0521667
38.0177,-97.9393
47.5666667,-122.265
33.2738333,-116.2575
46.9105,-112.5413333
38.7933333,-122.7518333
36.7179,-99.3877
34.0393333,-117.264
31.4441667,-115.6891667
37.661,-118.8431667
36.701,-97.6759
39.3067,-99.1296
35.7649,-98.3085
36.9106,-99.3099
36.7173,-99.3791
36.9745,-90.4113333
37.1991667,-97.7736667
33.9563333,-116.3191667
36.8546667,-121.579
36.8568333,-121.588
31.1605,-103.2555
34.2963333,-116.9573333
48.3246667,-122.6951667
45.341,-66.235
44.0064,-115.1353
44.2314,-114.6839
36.9741667,-90.4148333
40.3965,-124.3995
33.9525,-116.9876667
35.9421667,-117.6541667
36.454,-98.8256
46.9055,-112.4509
35.6031667,-117.402
29.1718,-97.7226
39.7496667,-120.2975
